,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
26,3.0994E-06,2.861E-06,0.0001189709
27,5.9605E-06,4.0531E-06,0.0003230572
28,6.1989E-06,6.9141E-06,0.0003938675
29,5.9605E-06,5.0068E-06,0.0004088879
30,6.9141E-06,5.0068E-06,0.0003621578
31,6.1989E-06,6.9141E-06,0.0003859997
32,5.9605E-06,5.0068E-06,0.0003631115
33,5.9605E-06,5.0068E-06,0.0003499985
34,6.9141E-06,5.9605E-06,0.0005412102
35,5.9605E-06,5.9605E-06,0.000369072
36,6.9141E-06,6.9141E-06,0.0003950596
37,8.8215E-06,6.9141E-06,0.0013141632
38,6.9141E-06,6.9141E-06,0.0008380413
39,6.9141E-06,2.28882E-05,0.0003921986
40,5.9605E-06,6.9141E-06,0.0003662109
41,1.21593E-05,1.19209E-05,0.0007870197
42,5.9605E-06,5.0068E-06,0.0004220009
43,7.1526E-06,5.0068E-06,0.0004079342
44,6.9141E-06,7.8678E-06,0.0011441708
45,5.9605E-06,5.0068E-06,0.0003578663
46,8.1062E-06,7.1526E-06,0.0004148483
47,5.0068E-06,5.0068E-06,0.0003230572
48,5.9605E-06,5.9605E-06,0.0004341602
49,5.0068E-06,5.0068E-06,0.0003669262
50,5.9605E-06,5.0068E-06,0.0003221035
51,5.9605E-06,6.1989E-06,0.0003960133
52,5.9605E-06,6.9141E-06,0.0004060268
53,8.1062E-06,5.0068E-06,0.0003437996
54,2.1458E-06,1.9073E-06,0.0001699924
55,6.9141E-06,1.28746E-05,0.0014951229
56,9.0599E-06,5.9605E-06,0.0003409386
57,1.12057E-05,9.0599E-06,0.0012388229
58,7.8678E-06,1.3113E-05,0.002038002
59,8.1062E-06,1.09673E-05,0.0007679462
60,9.0599E-06,6.9141E-06,0.0009980202
61,6.9141E-06,8.1062E-06,0.0013589859
62,6.9141E-06,6.9141E-06,0.0004019737
63,4.0531E-06,4.0531E-06,0.0002551079
64,5.0068E-06,4.7684E-06,0.0003561974
65,8.1062E-06,8.1062E-06,0.0004198551
66,5.9605E-06,5.9605E-06,0.0003609657
67,5.0068E-06,5.0068E-06,0.0004189014
68,5.0068E-06,5.0068E-06,0.0003600121
69,6.1989E-06,5.0068E-06,0.0004079342
70,5.9605E-06,5.9605E-06,0.000369072
71,5.9605E-06,5.9605E-06,0.0003609657
72,5.9605E-06,5.0068E-06,0.0003609657
73,5.0068E-06,6.9141E-06,0.0003950596
74,5.0068E-06,7.1526E-06,0.0003929138
75,5.9605E-06,5.0068E-06,0.0003209114
76,6.9141E-06,6.9141E-06,0.00041008
77,5.9605E-06,5.0068E-06,0.0004301071
78,5.0068E-06,1.09673E-05,0.0003590584
79,5.9605E-06,5.9605E-06,0.0006270409
80,5.9605E-06,5.0068E-06,0.0003581047
81,5.9605E-06,5.9605E-06,0.0004460812
82,5.0068E-06,5.0068E-06,0.0003700256
83,5.9605E-06,4.0531E-06,0.0003230572
84,5.9605E-06,7.1526E-06,0.0004038811
85,5.9605E-06,6.9141E-06,0.0003929138
86,6.9141E-06,5.9605E-06,0.0003490448
87,5.0068E-06,7.1526E-06,0.0003938675
88,6.9141E-06,5.9605E-06,0.000369072
89,5.9605E-06,6.9141E-06,0.0004119873
90,6.9141E-06,7.8678E-06,0.0004150867
91,5.9605E-06,7.1526E-06,0.0003988743
92,5.9605E-06,5.9605E-06,0.0004079342
93,5.9605E-06,5.0068E-06,0.0003490448
94,5.9605E-06,5.9605E-06,0.0003950596
95,6.1989E-06,5.0068E-06,0.000317812
96,5.9605E-06,7.1526E-06,0.0005438328
97,5.9605E-06,1.50204E-05,0.0006010532
98,5.0068E-06,4.7684E-06,0.0003561974
99,5.9605E-06,4.0531E-06,0.0003190041
100,5.9605E-06,5.9605E-06,0.0004110336
