,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
22,5.0068E-06,5.0068E-06,0.0006270409
23,6.9141E-06,5.9605E-06,0.0003631115
24,7.1526E-06,5.9605E-06,0.0010399818
25,5.0068E-06,5.9605E-06,0.0003988743
26,5.0068E-06,4.0531E-06,0.0003609657
27,5.9605E-06,6.9141E-06,0.0003979206
28,5.9605E-06,4.0531E-06,0.0003740788
29,5.0068E-06,4.0531E-06,0.000412941
30,6.1989E-06,4.0531E-06,0.0003569126
31,5.0068E-06,5.0068E-06,0.000412941
32,5.9605E-06,1.5974E-05,0.0010390282
33,5.9605E-06,6.9141E-06,0.0010070801
34,5.9605E-06,4.0531E-06,0.0003559589
35,6.1989E-06,6.9141E-06,0.0003969669
36,8.1062E-06,8.1062E-06,0.0015637875
37,6.9141E-06,7.8678E-06,0.0004470348
38,9.0599E-06,1.09673E-05,0.0009179115
39,6.9141E-06,5.9605E-06,0.0004382133
40,6.9141E-06,5.9605E-06,0.0004429817
41,6.1989E-06,5.0068E-06,0.000330925
42,5.9605E-06,6.1989E-06,0.0003969669
43,3.0994E-06,2.861E-06,0.0001850128
44,2.861E-06,4.0531E-06,0.0001971722
45,7.1526E-06,6.9141E-06,0.0004880428
46,1.9073E-06,1.9073E-06,0.0001220703
47,4.0531E-06,4.0531E-06,0.0012469292
48,1.9073E-06,1.9073E-06,0.0001912117
49,5.0068E-06,5.0068E-06,0.0001769066
50,1.9073E-06,5.0068E-06,0.0003540516
51,2.1458E-06,3.0994E-06,0.0001738071
52,2.1458E-06,2.1458E-06,0.0001468658
53,5.0068E-06,5.9605E-06,0.0003831387
54,5.0068E-06,5.9605E-06,0.0001699924
55,4.0531E-06,2.861E-06,0.0001871586
56,3.0994E-06,2.1458E-06,9.39369E-05
57,5.0068E-06,5.0068E-06,0.0003969669
58,5.0068E-06,5.9605E-06,0.0004019737
59,5.0068E-06,5.9605E-06,0.0003519058
60,1.9073E-06,1.9073E-06,0.0001451969
61,7.8678E-06,5.9605E-06,0.0004761219
62,1.38283E-05,1.09673E-05,0.0014281273
63,5.9605E-06,5.0068E-06,0.0003540516
64,5.9605E-06,5.0068E-06,0.0004079342
65,7.1526E-06,5.9605E-06,0.0004630089
66,5.0068E-06,6.1989E-06,0.0004138947
67,5.9605E-06,6.1989E-06,0.0003938675
68,5.0068E-06,4.0531E-06,0.0003550053
69,7.1526E-06,6.9141E-06,0.0004138947
70,5.0068E-06,6.1989E-06,0.0003979206
71,5.9605E-06,5.9605E-06,0.0012841225
72,6.9141E-06,7.1526E-06,0.0019369125
73,7.1526E-06,5.0068E-06,0.0003700256
74,7.1526E-06,5.9605E-06,0.0003769398
75,5.9605E-06,5.9605E-06,0.0004072189
76,5.9605E-06,5.9605E-06,0.0003600121
