,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
72,2.71797E-05,5.0068E-06
73,1.19209E-05,3.0994E-06
74,1.19209E-05,3.0994E-06
75,1.4782E-05,5.0068E-06
76,1.28746E-05,3.0994E-06
77,1.19209E-05,3.0994E-06
78,1.19209E-05,3.0994E-06
79,1.00136E-05,2.861E-06
80,1.88351E-05,4.0531E-06
81,1.81198E-05,5.0068E-06
82,1.50204E-05,4.0531E-06
83,1.50204E-05,5.0068E-06
84,1.50204E-05,5.0068E-06
85,1.3113E-05,3.0994E-06
86,1.5974E-05,5.0068E-06
87,1.21593E-05,2.861E-06
88,1.81198E-05,4.0531E-06
89,1.3113E-05,3.0994E-06
90,1.5974E-05,5.0068E-06
91,1.5974E-05,5.0068E-06
92,1.50204E-05,5.0068E-06
93,1.5974E-05,5.0068E-06
94,1.09673E-05,2.861E-06
95,1.19209E-05,3.0994E-06
96,1.4782E-05,3.8147E-06
97,1.69277E-05,5.0068E-06
98,1.69277E-05,4.0531E-06
99,1.50204E-05,4.0531E-06
100,8.1062E-06,1.9073E-06
,,
,,
,,
PC-PC,CHAVE 192 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,6.91414E-05,5.10216E-05
2,7.20024E-05,5.00679E-05
3,6.60419E-05,4.81606E-05
4,8.29697E-05,3.31402E-05
5,4.00543E-05,3.19481E-05
6,4.00543E-05,3.19481E-05
7,4.1008E-05,3.21865E-05
8,4.1008E-05,3.19481E-05
9,4.1008E-05,3.09944E-05
10,4.60148E-05,3.09944E-05
11,5.6982E-05,4.91142E-05
12,3.98159E-05,7.00951E-05
13,5.91278E-05,4.91142E-05
14,7.08103E-05,4.91142E-05
15,6.91414E-05,4.98295E-05
16,4.1008E-05,3.19481E-05
17,5.60284E-05,4.41074E-05
18,7.10487E-05,5.10216E-05
19,6.00815E-05,5.4121E-05
20,6.81877E-05,5.79357E-05
21,6.19888E-05,4.88758E-05
22,4.48227E-05,3.40939E-05
23,6.91414E-05,5.88894E-05
24,3.71933E-05,2.7895E-05
25,3.88622E-05,2.90871E-05
26,6.10352E-05,5.4121E-05
27,6.10352E-05,4.91142E-05
28,7.10487E-05,5.38826E-05
29,4.1008E-05,2.88486E-05
30,4.60148E-05,3.19481E-05
31,5.48363E-05,4.3869E-05
32,5.91278E-05,3.79086E-05
33,6.10352E-05,5.00679E-05
34,4.69685E-05,3.19481E-05
35,5.29289E-05,3.69549E-05
36,4.1008E-05,3.19481E-05
37,8.01086E-05,6.69956E-05
38,5.10216E-05,7.48634E-05
39,6.60419E-05,4.69685E-05
