Tempo decriptografia server em ms:,Tempo criptografia server em ms:,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nós em ms:
0.0000109673,0.0000030994,0.0000050068,0.0000059605,0.0005030632
0.0000169277,0.0000040531,0.0000050068,0.0000050068,0.0005300045
